#separator:tab
#html:true
#tags column:8
Spanish	English	Swedish	Tag	Example ES	Example EN	Comment	Tag
El hombro	The shoulder	Axeln ✓	Noun	Me duele el hombro.	My shoulder hurts.	The word hombro comes from the Latin humerus, which also refers to the upper arm or shoulder area.	Noun
La indiferencia	Indifference	Likgiltigheten ✓	Noun	La indiferencia puede ser peligrosa.	The indifference can be dangerous.	La indiferencia stems from the Latin indifferentia, meaning not different, highlighting a state of neutrality or lack of concern.	Noun
El alemán	The german	Tysken ✓	Noun	El alemán habla español.	The German speaks Spanish.	El alemán translates directly to the German in English, referring to both the language and the people from Germany.	Noun
La ametralladora	The machine gun	Maskingeväret ✓	Noun	La ametralladora es un arma poderosa.	The machine gun is a powerful weapon.	The word ametralladora comes from the Spanish verb ametrallar, which means to fire in rapid bursts.	Noun
La trinchera	The trench	Skyttegraven ✓	Noun	La trinchera es un lugar de defensa.	The trench is a place of defense.	Trinchera comes from the French “tranchée,” rooted in Latin “truncare” (to cut), and can also be used to describe taking a firm stance.	Noun
La entrada	The ticket	Biljetten ✓	Noun	La entrada es para el concierto.	The ticket is for the concert.	The term entrada comes from the Latin intrata, meaning entrance or entry, reflecting its use in both physical access and admission.	Noun
El fregadero	The sink	Vasken ✓	Noun	Yo lavo los platos en el fregadero.	I wash the dishes in the sink.	The word fregadero comes from the verb fregar, which means to scrub or to wash.	Noun
La belleza	Beauty	Skönhet (beauty) ✓	Noun	La belleza es fundamental en el arte.	The beauty is fundamental in art.	The word belleza comes from the Latin bellus, which means pretty or handsome.	Noun
Las gemas	Gems	Ädelstenarna ✓	Noun	Las gemas son muy valiosas.	The gems are very valuable.	The word gemas comes from the Latin gemma, which means bud or jewel, illustrating its richness and beauty.	Noun
La abeja	The bee	Biet ✓	Noun	La abeja vuela de flor en flor.	The bee flies from flower to flower.	The word abeja comes from the Latin apis, which is also the root for the word apiary, a place where bees are kept.	Noun
El foco	The focus	Fokuset ✓	Noun	El foco está encendido.	The focus is on.	The word foco originates from the Latin focus, meaning hearth or center of activity, and is used in both physical and metaphorical contexts.	Noun
La anáfora	The anaphora	Anafor ✓	Noun	La anáfora se utiliza en la poesía.	The anaphora is used in poetry.	La anáfora comes from the Greek word anaphora, meaning to carry back, which reflects its function of repetition for emphasis.	Noun
El sueño	The dream	Drömmen ✓	Noun	El sueño es hermoso.	The dream is beautiful.	The word sueño comes from the Latin somnium, which means dream.	Noun
El miedo	Fear	Rädsla ✓	Noun	El miedo puede ser paralizante.	The fear can be paralyzing.	The word miedo comes from Latin metus, which means anxiety or fear, and its commonly used in expressions related to phobias and psychological states.	Noun
La plata	Silver	Silvret ✓	Noun	La plata es un metal precioso.	The silver is a precious metal.	The term La plata comes from the Latin plata, meaning silver, and is commonly used in Spanish-speaking countries to refer to money as well.	Noun
El oro	Gold	Guldet ✓	Noun	El oro es muy valioso.	The gold is very valuable.	The word oro comes from the Latin aurum, which is why gold is also associated with the term auriferous, meaning gold-bearing.	Noun
Nunca	Never	Aldrig ✓	Adverb	Nunca voy al cine.	I never go to the cinema.	The word nunca comes from Latin numquam, which also means never and reflects a negation in time.	Adverb
La sierra	The mountain range	I bergen (uppe i bergen) ✓	Noun	La sierra es hermosa.	The mountain range is beautiful.	The word sierra comes from the Spanish word for saw, referring to the jagged shape of mountain ranges resembling a saws teeth.	Noun
La congoja	The anguish	Uppgivenhet/nöd ✓	Noun	La congoja me invade cuando pienso en el futuro.	The anguish overwhelms me when I think about the future.	The word congoja comes from the Latin congaudere, meaning to rejoice together, which is interesting since it reflects a contrast to its current emotional connotation.	Noun
Un enredo	The misunderstanding	Ett missförstånd/förvirring ✓	Noun	Hay un enredo en la conversación.	There is a misunderstanding in the conversation.	The word enredo comes from the verb enredar, which means to tangle, reflecting the idea of getting things mixed up or confused.	Noun
La calumnia	The slander	Förtalet ✓	Noun	La calumnia puede arruinar reputaciones.	The slander can ruin reputations.	Fun fact: The word calumnia comes from the Latin calumnia, which means false accusation or slander.	Noun
El trato	The deal	Avtalet/överenskommelsen ✓	Noun	El trato fue justo para ambas partes.	The deal was fair for both parties.	Fun fact: The word trato comes from the Latin tractatus, which means a handling or a dragging, indicating a form of negotiation or agreement.	Noun
La mantequilla	Butter	Smör ✓	Noun	La mantequilla es deliciosa.	The butter is delicious.	The word mantequilla comes from the Latin manteca, referring to the butterfat, and it highlights the rich culinary tradition of butter in Spanish cuisine.	Noun
El cacahuete	The peanut	Jordnöten ✓	Noun	El cacahuete es un fruto seco delicioso.	The peanut is a delicious nut.	The word cacahuete comes from the Nahuatl word tlālcacahuatl, which reflects its indigenous roots in Mexico where peanuts originated.	Noun
La circunstancia	The circumstance	Omständigheten ✓	Noun	La circunstancia es importante en la toma de decisiones.	The circumstance is important in decision-making.	The word circunstancia comes from the Latin circumstantia, meaning standing around, reflecting the idea of conditions or factors surrounding a situation.	Noun
El banco	The bank	Bänken (eller banken) ✓	Noun	El banco está cerca de mi casa.	The bank is near my house.	The word banco originates from the Italian word banco, meaning bench, which was used in medieval times for money changers who conducted their business on benches.	Noun
La vergüenza	Shame	Skammen ✓	Noun	La vergüenza me impide hablar en público.	The shame prevents me from speaking in public.	The word vergüenza comes from the Latin verentia, which means fear or respect, highlighting its connection to feelings of shame and timidity.	Noun
La charranada	The troublemaker	Idiot/bråkstake/dålig person ✓	Noun	No seas una charranada en la reunión.	Dont be a troublemaker at the meeting.	The term charranada is derived from the Spanish word charrán, which is a type of bird, and it is often used in colloquial contexts to describe foolish or disruptive behavior.	Noun
Caer	To fall	Falla (solen) ✓	Verb	El árbol va a caer.	The tree is going to fall.	The verb caer comes from the Latin cadere, which also means to fall, showing its longstanding usage in the Spanish language.	Verb
Empeñarse en	To insist on	Bestämma sig för ✓	Verb	Me empeño en aprender español.	I insist on learning Spanish.	Empeñarse en comes from the verb empeñar, which originally referred to pawning something, implying a strong commitment to a cause or objective.	Verb
Sacar (los entradas)	To take out (the tickets)	Ta ut (biljetterna) ✓	Verb	Voy a sacar los entradas para el concierto.	I am going to take out the tickets for the concert.	The verb sacar comes from the Latin saccare, which means to take out or to draw out.	Verb
Cabrear	To go to hell	Dra åt helvete ✓	Verb	Me cabrea cuando llegas tarde.	It pisses me off when you arrive late.	The verb cabrear comes from the Latin caprāre, which refers to driving someone like a goat, indicating irritation or annoyance.	Verb
Aguantar	To endure	Uthärda ✓	Verb	No puedo aguantar el ruido.	I cant endure the noise.	The verb aguantar comes from the Latin habere which means to have or to hold, illustrating its sense of holding on or enduring something difficult.	Verb
Dejar	To leave	Lämna ✓	Verb	Dejé mis libros en la mesa.	I left my books on the table.	The verb dejar can also mean to let or to allow, showcasing its versatility in Spanish.	Verb
Encoger (los hombros)	To shrug	Rycka (på axlarna) ✓	Verb	No sé la respuesta, así que solo encogí los hombros.	I dont know the answer, so I just shrugged.	The phrase encoger los hombros is often used to express indifference or a lack of knowledge about a situation.	Verb
Volar	To fly	Flyga ✓	Verb	Los pájaros pueden volar.	Birds can fly.	The verb volar comes from the Latin volare, which also means to fly.	Verb
Acabarse	To finish	Sluta ✓	Verb	El pan se va a acabar.	The bread is going to finish.	Acabarse comes from the verb acabar, meaning to finish or to end, and is often used to indicate that something is no longer available.	Verb
Sacudirse	To shake off	Skaka av sig ✓	Verb	Él se sacudió el agua de encima.	He shook off the water.	The verb sacudirse comes from the Latin saccudere, meaning to shake. It reflects a physical or metaphorical act of getting rid of something unwanted.	Verb
Pasear	To stroll	Promenera ✓	Verb	Me gusta pasear por el parque.	I like to stroll through the park.	The verb pasear comes from the Latin paciāre, which means to make peace, reflecting a tranquil activity.	Verb
Seguir	To follow	Fortsätta ✓	Verb	Yo quiero seguir aprendiendo.	I want to continue learning.	The verb seguir is derived from the Latin sequi, meaning to follow, and it often conveys the idea of continuing an action or state.	Verb
Sorprender	To surprise	Förvåna ✓	Verb	Me sorprende tu felicidad.	Your happiness surprises me.	The verb sorprender is derived from the Latin surripere, meaning to seize or take away, highlighting the suddenness of the surprise effect.	Verb
Cambiar	Change	Förändra ✓	Verb	Necesito cambiar mi ropa.	I need to change my clothes.	The verb cambiar comes from the Latin cambiare, which means to exchange or to trade.	Verb
Sufrir	To suffer	Lida ✓	Verb	Ella va a sufrir mucho si no estudia.	She is going to suffer a lot if she doesnt study.	The verb sufrir comes from the Latin sufferre, which means to bear or to carry under.	Verb
Dormir	To sleep	Sova ✓	Verb	Yo quiero dormir.	I want to sleep.	The word dormir comes from the Latin dormire, which means to sleep. Its interesting to note that in Spanish, the verb often conveys a sense of both rest and inactivity.	Verb
Levantarse	To get up	Gå upp ✓	Verb	Me levanto temprano todos los días.	I get up early every day.	The verb levantar comes from Latin levare, meaning to raise or lift.	Verb
Correr	To run	Springa ✓	Verb	Yo quiero correr por el parque.	I want to run in the park.	The verb correr comes from the Latin word currere, which means to run and is used in various expressions in the Spanish language related to speed and movement.	Verb
Disimular	To conceal	Dölja ✓	Verb	Ella intenta disimular su tristeza.	She tries to conceal her sadness.	The word disimular comes from Latin dissimulare, which means to conceal or hide.	Verb
Ahogar	To drown	Drunkna (även symboliskt) ✓	Verb	No quiero ahogar mis sentimientos.	I dont want to drown my feelings.	The verb ahogar originates from the Latin adaugar, which means to cover or overwhelm, often reflecting both physical and emotional states.	Verb
Conseguir	To get	Få/hämta ✓	Verb	Puedo conseguir un libro.	I can get a book.	The verb conseguir originates from Latin consequere, meaning to follow after or to obtain, reflecting its use in attaining or acquiring something.	Verb
Proponer	To propose	Att föreslå ✓	Verb	Yo propongo que vayamos al cine.	I propose that we go to the cinema.	Fun fact: The verb proponer comes from the Latin proponere, which means to put forth, highlighting the act of suggesting or putting an idea forward.	Verb
Destacar	To highlight	Markera ✓	Verb	Me gusta destacar mis logros.	I like to highlight my achievements.	The verb destacar comes from the Latin distantiare, meaning to stand out or to distinguish.	Verb
Merendar	To snack	Äta på kvällen (kvällsmat) ✓	Verb	Vamos a merendar galletas y leche.	Were going to snack on cookies and milk.	The verb merendar is derived from the Latin merenda, which referred to a light meal taken in the evening.	Verb
Soler	To be accustomed to	Att bruka göra (i presens) ✓	Verb	Yo suelo leer por la mañana.	I usually read in the morning.	The verb soler is often used to express habitual actions and derives from the Latin word solere, meaning to be accustomed.	Verb
Arbolada	Tree-covered	Trädtätt/lummigt ✓	Adjective	El parque tiene una zona arbolada.	The park has a tree-covered area.	The word arbolada comes from árbol, meaning tree, and is often used to describe places that are rich in trees and greenery.	Adjective
Escasos	Scarce	Fåtaliga ✓	Adjective	Los recursos son escasos en esta región.	The resources are scarce in this region.	The word escasos comes from the Latin excasus, meaning to fall short.	Adjective
Común/regular	Common/regular	Vanlig ✓	Adjective	El uso del internet es muy común en la vida diaria.	The use of the internet is very common in daily life.	The word común comes from the Latin communis, meaning shared by all.	Adjective
(ser) verdadero	True	Sann ✓	Adjective	Esto es verdadero.	This is true.	The phrase ser verdadero reflects the concept of truth and is often used in philosophical discussions about existence and reality.	Adjective
Asustado/a	Scared	Rädd (con estar) ✓	Adjective	Estoy asustada por la película.	Im scared of the movie.	The word asustado comes from the verb asustar, which means to scare, and is widely used in Spanish to express fear or fright in various contexts.	Adjective
Pálido	Pale	Blek ✓	Adjective	El cielo está pálido hoy.	The sky is pale today.	Pálido comes from the Latin pallidus, meaning lacking color or brightness.	Adjective
Fijamente	Fixedly	Fixerat ✓	Adverb	Ella miró fijamente la pantalla.	She stared fixedly at the screen.	Fijamente comes from the root fijo, meaning fixed or steady, and emphasizes the intensity of the action.	Adverb
Ser un tostonazo	To be very boring ✓	Att vara väldigt tråkig	Phrase	La clase de matemáticas puede ser un tostonazo.	Math class can be a real bore.	The phrase tostonazo derives from tostón, a term used to describe a hard, dry bread, likening something boring to something hard and unappetizing.	Phrase
Estar chala(d)o perdido	To be out of your mind ✓	Att vara borta i huvudet	Phrase	Estaba tan emocionado que parecía estar chalao perdido	He was so excited that he seemed to be out of his mind	The phrase Estar chalao perdido originates from informal Spanish, with chalao being a slang term derived from the word chala, which is a variation of chalar, meaning to lose ones sanity.	Phrase
Estar en la edad del pavo	To be in the adolescence ✓	Att vara i tonåren	Phrase	Ella está en la edad del pavo y no sabe cómo manejar sus emociones.	She is in the adolescence and doesnt know how to handle her emotions.	The phrase Estar en la edad del pavo literally translates to to be in the turkey age, referring to the awkward and clumsy behavior often seen in teenagers.	Phrase
Cargarse a alguien	To dispose of someone ✓	Förstöra någon	Phrase	No quiero que te cargues a alguien por un malentendido.	I dont want you to dispose of someone over a misunderstanding.	The phrase cargarse a alguien comes from the verb cargar, which means to load or burden, but in slang it takes on a darker meaning of eliminating someone.	Phrase
Cargarse a algo	To destroy something ✓	Förstöra något	Phrase	El niño se cargó a su juguete favorito.	The boy destroyed his favorite toy.	The phrase cargarse a algo originates from the informal use of cargar, which means to load or carry, and has evolved to imply causing significant damage or destruction.	Phrase
De sopetón	Suddenly (colloquial) ✓	Plötsligt	Adverb	De sopetón, llegó un perro a la fiesta.	Suddenly, a dog arrived at the party.	The term De sopetón comes from informal Spanish, often used to describe an unexpected or abrupt occurrence.	Adverb
Tocarse las narices	To be lazy/do nothing ✓	Att vara lat/göra ingenting	Phrase	Hoy solo quiero tocarme las narices	Today I just want to be lazy	The phrase tocarse las narices literally means to touch ones nose, and it reflects a common attitude towards doing nothing, often linked to a light-hearted or humorous approach to laziness in Spanish-speaking cultures.	Phrase
Estar con el agua al cuello	To be up to one’s neck ✓	Att vara upp till nacken	Phrase	Estoy con el agua al cuello porque tengo muchas deudas.	I am up to my neck because I have a lot of debts.	The phrase Estar con el agua al cuello originates from the idea of being overwhelmed or drowning in responsibilities, similar to being submerged in water.	Phrase
Escurrir el bulto	To shirk responsibility ✓	Att undvika ansvar	Phrase	No quiere ayudar en el proyecto y siempre escurre el bulto.	He doesnt want to help with the project and always shirks responsibility.	The phrase Escurrir el bulto literally means to drain the bundle, originally referring to avoiding the weight of responsibility or burden.	Phrase
Estar a la vuelta de la esquina	To be just around the corner (spatially or temporally) ✓	Att vara precis runt hörnet	Phrase	La tienda está a la vuelta de la esquina.	The store is just around the corner.	Fun fact: The phrase Estar a la vuelta de la esquina highlights the concept of proximity, both physically and temporally, and is commonly used in everyday conversation in Spain and Latin America.	Phrase
Hacer una tormenta de un vaso de agua	To make a mountain of a molehill ✓	Skapa en storm i ett vattenglas	Phrase	No deberías hacer una tormenta de un vaso de agua por un pequeño problema.	You shouldnt make a mountain out of a molehill over a small issue.	This phrase literally translates to make a storm out of a glass of water, emphasizing how minor issues can be exaggerated.	Phrase
Saber algo de buena tinta	To know something with good confidence ✓	Att veta något med goda bevis	Phrase	Yo sé algo de buena tinta sobre la reunión.	I know something with good confidence about the meeting.	The phrase Saber algo de buena tinta literally translates to knowing something from reliable sources, often used to imply that the information is well-founded.	Phrase
Estar hecho un fideo	To be thin as a noodle ✓	Tunn som en spagetti	Phrase	Mi hermano está hecho un fideo.	My brother is as thin as a noodle.	The phrase Estar hecho un fideo highlights the cultural perception of being slim, and it reflects humor in describing someones physique in a lighthearted way.	Phrase
Con la mano en el corazón	With hand on heart ✓	Med handen på hjärtat	Phrase	Con la mano en el corazón, te prometo que siempre seré honesto contigo.	With hand on heart, I promise you that I will always be honest with you.	The phrase Con la mano en el corazón is often used to signify sincerity and truthfulness, originating from the notion of placing ones hand over the heart as a gesture of honesty.	Phrase
Ser una lata	To be a nuisance/tedious ✓	Att vara en plåga	Phrase	Hacer tareas aburridas en casa siempre es una lata.	Doing boring chores at home is always going to be a nuisance.	The phrase ser una lata literally translates to to be a can, which reflects the idea of something that is cumbersome or bothersome, much like carrying around an empty can.	Phrase
El candado	The padlock ✓	Den hänglåset	Noun	El candado está en la puerta.	The padlock is on the door.	The word candado comes from the Latin cancellus, which means bar.	Noun
El teclado	The keyboard ✓	Tangentbordet	Noun	El teclado es negro.	The keyboard is black.	The word teclado comes from the Latin tcladus, which means a set of keys or levers, reflecting its function.	Noun
La mochila	The backpack ✓	Ryggsäcken	Noun	La mochila es roja.	The backpack is red.	The word mochila comes from the Arabic makila, which means a bag.	Noun
La carrera	The race ✓	Loppet	Noun	La carrera es emocionante.	The race is exciting.	The word carrera comes from the Latin currere, meaning to run, highlighting its association with speed and competition.	Noun
Los bañadores	The swimsuit ✓	Badbyxorna	Noun	Los bañadores son muy coloridos.	The swimsuits are very colorful.	The word bañador comes from the verb bañar, meaning to bathe, reflecting the garments use for swimming and bathing.	Noun
(yo) que tú	If i were you ✓	Om jag var du	Conjunction/subjunction	(yo) que tú deberías estudiar para el examen.	If I were you, I would study for the exam.	The phrase (yo) que tú is used to give advice and reflects a subjunctive mood in Spanish, indicating a hypothetical situation.	Conjunction/subjunction
(yo) en tu lugar	If i were you (colloquial) ✓	Om jag vore du	Phrase	Si yo en tu lugar, hablaría con ella.	If I were you, I would talk to her.	The phrase (yo) en tu lugar literally means in your place, highlighting an empathetic perspective often used in advice-giving contexts.	Phrase
Mentir	To lie ✓	Att ljuga	Verb	Él suele mentir sobre sus notas.	He often lies about his grades.	The verb mentir has Latin roots, derived from mentiri, which also means to lie and is related to the concept of deception.	Verb
Disculpar	Forgive me ✓	Förlåta	Verb	Disculpar es importante en las relaciones.	To forgive is important in relationships.	The word disculpar comes from Latin disculpare, meaning to clear of blame or to excuse.	Verb
El lavaplatos	The dishwasher ✓	Diskmaskinen	Noun	El lavaplatos está sucio.	The dishwasher is dirty.	The term lavaplatos combines lava (to wash) and platos (dishes), highlighting its function in a kitchen setting.	Noun
La lavadora	The washing machine ✓	Tvättmaskinen	Noun	La lavadora está enchufada.	The washing machine is plugged in.	La lavadora comes from the Spanish verb lavar, meaning to wash, highlighting its primary function in a household.	Noun
Especies en peligro de extinción	Endangered species ✓	Utrotningshotade arter	Noun	Las especies en peligro de extinción necesitan nuestra protección.	The endangered species need our protection.	The term especie comes from Latin species, meaning appearance or kind, highlighting the diversity within living organisms.	Noun
Perder la noción	Lose track of time ✓	Tappa tid	Phrase	A veces, al leer un buen libro, suelo perder la noción del tiempo.	Sometimes, when reading a good book, I tend to lose track of time.	The phrase perder la noción captures the joy of being so absorbed in an activity that one forgets the passage of time.	Phrase
Perder el tiempo	Waste time ✓	Slösa tid	Phrase	No quiero perder el tiempo en cosas triviales.	I dont want to waste time on trivial things.	The phrase Perder el tiempo reflects the idea that time is a valuable resource, and its usage emphasizes the importance of focusing on meaningful activities.	Phrase
La dirección	The address ✓	Adressen	Noun	La dirección está en la esquina.	The address is on the corner.	The word dirección derives from the Latin directio, which means a guiding or direction, highlighting its use in both navigation and communication.	Noun
Recortar	To cut back/trim ✓	Att trimma	Verb	Es necesario recortar las plantas.	It is necessary to trim the plants.	The word recortar comes from the Latin recortare, which means to cut back or shorten.	Verb
La venta	The sale/sales (department) ✓	Försäljningen	Noun	La venta es importante para el negocio.	The sale is important for the business.	The term venta originates from the Latin word vendere, which means to sell.	Noun
Enterarse	To find out ✓	Att få reda på	Verb	Me enteré de la noticia ayer.	I found out about the news yesterday.	The verb enterarse comes from the combination of en (in) and tara (to arrange or put in order), reflecting the act of bringing information to light or order.	Verb
Coger	To take/catch ✓	Att ta	Verb	Voy a coger el autobús.	I am going to take the bus.	The verb coger is commonly used in Spain, but in many Latin American countries, it can have vulgar connotations.	Verb
¿Oiga, perdone?	Excuse me? ✓	Ursäkta mig?	Interjection	¿Oiga, perdone? Estoy buscando la estación de tren.	Excuse me? I am looking for the train station.	The phrase ¿oiga, perdone? combines oiga, a form of the verb oír (to hear), and perdone, a form of perdonar (to forgive), making it a polite way to get someones attention.	Interjection
Llevar	To carry ✓	Att bära	Verb	Yo llevo una mochila	I carry a backpack	The verb llevar is derived from the Latin levare, which means to raise or to lift, illustrating its connection to movement and carrying.	Verb
Salir	To leave/go out ✓	Att lämna	Verb	Voy a salir con mis amigos.	I am going to go out with my friends.	Salir comes from the Latin word salire, which means to leap or to jump, emphasizing the action of leaving a place.	Verb
Cuando esto pase	As soon as this passes ✓	Så snart detta passerar	Conjunction/subjunction	Cuando esto pase, podremos salir a celebrar.	As soon as this passes, we can go out to celebrate.	The phrase cuando esto pase is commonly used in everyday conversation to express hope and anticipation for a future change or improvement.	Conjunction/subjunction
Hasta que	Until ✓	Tills	Conjunction/subjunction	No saldré hasta que anochezca.	I wont leave until it gets dark.	Hasta que literally translates to up to that and is commonly used to indicate a time limit or condition in both everyday conversations and literature.	Conjunction/subjunction
El tenedor	The fork ✓	Gafeln	Noun	El tenedor está en la mesa.	The fork is on the table.	The word tenedor comes from the Latin tenere, meaning to hold, reflecting its function as a tool for holding food.	Noun
En vez de	Instead of ✓	Istället för	Conjunction/subjunction	En vez de comer carne, como verduras.	Instead of eating meat, I eat vegetables.	En vez de literally means in place of and is often used to suggest a better alternative in conversation.	Conjunction/subjunction
Tirar	To throw ✓	Att kasta	Verb	Voy a tirar la pelota.	I am going to throw the ball.	The verb tirar comes from the Latin word tira, meaning to pull or to draw, which reflects its meaning related to throwing something away or pulling it toward you.	Verb
Traer	To bring ✓	Att bringa	Verb	Yo voy a traer la comida.	I am going to bring the food.	The verb traer is derived from Latin trahēre, which means to draw or pull.	Verb
Apagar	To turn off ✓	Att stänga av	Verb	Voy a apagar la luz.	I am going to turn off the light.	The verb apagar comes from the Latin apacare, meaning to extinguish or put out, often referring to fires or lights.	Verb
Propio	(ones) own ✓	Egentlig	Adjective	Este es mi propio coche.	This is my own car.	The word propio comes from Latin proprius, meaning ones own or particular to.	Adjective
Encender	To turn on ✓	Att tända	Verb	Voy a encender la lámpara.	I am going to turn on the lamp.	The verb encender comes from the Latin incendere, which means to set on fire and has applications in both lighting and igniting.	Verb
Mucho mejor	Much better ✓	Mycket bättre	Adverb	Este libro es mucho mejor que el anterior.	This book is much better than the previous one.	The phrase Mucho mejor emphasizes improvement and is commonly used to express a preference for something superior.	Adverb
Pillar	To catch (informal) ✓	Att fånga/fatta	Phrase	Voy a pillar a Juan en la fiesta.	I am going to catch Juan at the party.	The word pillar comes from the Latin pila, meaning pillar or column, but in informal Spanish, it means to catch or nab someone.	Phrase
La regleta	Power strip ✓	Strömskena	Noun	La regleta está enchufada a la pared.	The power strip is plugged into the wall.	The term regleta comes from the word regla, meaning ruler, referring to its linear shape.	Noun
En cambio	On the other hand ✓	Å andra sidan	Conjunction/subjunction	Yo quería ir al cine; en cambio, decidí quedarme en casa.	I wanted to go to the movies; on the other hand, I decided to stay home.	The phrase en cambio literally means in exchange, illustrating a contrast or an alternative situation.	Conjunction/subjunction
Estar equivocado	To be wrong ✓	Att ha fel	Phrase	Estás equivocado sobre la respuesta.	You are wrong about the answer.	The phrase estar equivocado comes from the verb equivocar, which is derived from Latin aequivocare, meaning to call equally or to confuse.	Phrase
De repente	Suddenly ✓	Plötsligt	Adverb	De repente, comenzó a llover.	Suddenly, it started to rain.	De repente is commonly used in both spoken and written Spanish to indicate an unexpected change or occurrence.	Adverb
Todavía ya	Already ✓	Redan	Adverb	Todavía ya terminé mi tarea.	I have already finished my homework.	Todavía ya combines todavía meaning still and ya meaning already, creating a unique phrase often used to express that something has happened sooner than expected.	Adverb
Todavía no	Not yet ✓	Ännu inte	Adverb	No he terminado la tarea todavía no.	I havent finished the homework not yet.	The phrase todavía no is often used in Spanish to indicate that something is pending or has not occurred at the moment, similar to not yet in English.	Adverb
Yo qué sé	"I don&#x27;t know ✓"	Jag vet inte	Phrase	No sé qué hacer, yo qué sé.	I dont know what to do, I dont know.	The phrase yo qué sé is commonly used in Spanish to express uncertainty or lack of knowledge about something, similar to saying I have no idea in English.	Phrase
Estar dispuesto	To be willing ✓	Att vara villig	Phrase	Ella está dispuesta a ayudar.	She is willing to help.	The phrase estar dispuesto highlights a state of readiness or openness, embodying both mental and physical preparedness in various contexts.	Phrase
El sótano	The basement ✓	Källaren	Noun	El sótano está oscuro.	The basement is dark.	The word sótano comes from the Latin subtānum, meaning subterranean or underground.	Noun
El correo	The mail ✓	Posten	Noun	El correo llega todos los días.	The mail arrives every day.	The word correo derives from the Latin currere, meaning to run, reflecting how mail was traditionally delivered quickly.	Noun
Los escalones	The steps ✓	Stegen	Phrase	Los escalones son resbaladizos cuando están mojados.	The steps are slippery when wet.	The word escalón comes from the Latin scala, meaning ladder or stairs, highlighting the connection between climbing and elevation.	Phrase
